Updated: 03/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greyed out if the CES parts have been amended out and there's nothing to see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB 3264,Petrie-Norris,2/16/2024,Enacted,,9/27/2024,Energy: cost framework: residential rates: demand-side management programs report: electrical transmission grid study,Energy,"This bill would require the PUC, in consultation with the State Energy Resources Conservation and Development Commission (Energy Commission), to develop a framework for assessing, tracking, and analyzing total annual energy costs paid by residential households in California, as specified. requires study to dentify proposals to reduct cost for ratepayers",Section 913.5 of the Public Utilities Code is amended,"(b) In the report submitted pursuant to subdivision (a), the commission shall also report to the Legislature on the progress toward achieving the targets established pursuant to subdivision (a) of Section 454.55 and subdivision (a) of Section 454.56. The commission shall include specific strategies for, and an update on, progress toward maximizing the contribution of energy and electricity efficiency bill savings in disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Requires CES to be used in analysis,findings,(2) Increases in total energy costs disproportionately burden low-income and disadvantaged communities.,HSC by proxy,Used as data in support of writing the bill,,,,,,,,,,,,,,,,,,,,,,,,,,requires public utilities commission to study how to make electricity rates cheaper
AB 3121,Petrie-Norris,2/16/2024,Held in Committee,"In committee: Set, first hearing. Hearing canceled at the request of author.",8/30/2024,Public utilities: incentive programs,Energy,"regarding the multi family affordable housing solar roofs program, requires PUC to refund remaining credit to residential retail customers of electricla corporations",Section 2870 of the Public Utilities Code is amended to read:,"(3) “Qualified multifamily affordable housing property” means a multifamily residential property of at least five rental housing units that is, or will be, operated to provide deed-restricted low-income residential housing, as defined in clause (i) of subparagraph (A) of paragraph (3) of subdivision (a) of Section 2852, and that meets one or more of the following requirements:
(A) The property is located in a disadvantaged community, as identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code.",HSC,Defining a community,Section 2870 of the Public Utilities Code is amended,"(f) (1) By June 30, 2017, the commission shall authorize the award of monetary incentives for qualifying solar energy systems that are installed on qualified multifamily affordable housing properties through December 31, 2032. The target of the program is to install a combined generating capacity of at least 300 megawatts on qualified properties.",HSC by proxy,Program eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,Refunds through the multifamily affordable housing solar roofs program
AB 558,Arambula,2/8/2023,Filed,,2/1/2024,Fresno County Transportation Authority.,Transportation: transit,"bill would increase authority membership to 13 members, adding a member from public who represents a labor organization, youth member, communty member from DAC unincorporated area, educational member. makes projects subject to CEQA to mitigate further pollution of DACs or unincorporated DACs, authorizes tax ordinance, place additional reuqirements on agency before a plan, like a participatory public process, ensure proposals comply with state climate, air quality, and equity goals",Section 142105 of the Public Utilities Code is amended,"(f) (1) Comply with state climate, air quality, and equity goals when funding projects.
(2) Projects funded by the authority shall help mitigate any further pollution in disadvantaged communities, as defined in Section 39711 of Health and Safety Code, or in disadvantaged unincorporated communities, as defined in Section 65302.10 of the Government Code.",HSC,Mitigation,Section 142051 of the Public Utilities Code is amended,"(h) (1) One local community member who is from a disadvantaged, unincorporated area of the county and is involved in community and civic advocacy, appointed by the board of supervisors and selected from a nominee list submitted pursuant to paragraph (2).",HSC by proxy,Advisory role,,,,,,,,,,,,,,,,,,,,,,,,,,"bill to require fresno transit authority add members to its board, including one from an unincorporated DAC, and for adopted projects to comply with sate goals, including not further pollution on DACs"
AB 3265,Bryan,2/16/2024,Enacted,,9/14/2024,California Environmental Quality Act: environmental leadership media campus projects: judicial streamlining,Land use,"bill would establish streamlined procedures for the administrative and judicial review of the environmental review and approvals granted for an environmental leadership media campus project, defined by the bill as a construction or renovation project on a film and television media campus in the County of Los Angeles, under certain conditions","Section 21168.6.6 is added to the Public Resources Code, immediately following Section 21168.6",(1) “Disadvantaged community” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a disadvantaged unincorporated community pursuant to Section 65302.10 of the Government Code.,HSC,Defining a community,Section 21168.6.6 is added to the Public Resources Code,"(5) If measures are required to mitigate significant environmental impacts in a disadvantaged community, those impacts will be mitigated consistent with this division, including Section 21002, and the mitigation measures required under this subdivision will be undertaken in, and directly benefit, the affected community.",HSC by proxy,Mitigation,,,,,,,,,,,,,,,,,,,,,,,,,,CEQA streamlining for media and film sites in LA County
SB 583,Padilla,2/15/2023,Enacted,,9/27/2024,Salton Sea Conservancy,Governance: of programs,"This bill would establish the Salton Sea Conservancy within the Natural Resources Agency for specified purposes related to the Salton Sea region, including to operate, maintain, and manage projects, as they are completed, that are planned or built under the authority of the Salton Sea Management Program to fulfill the state’s obligations as detailed in State Water Resources Control Board Order WR 2017-0134 and to acquire, hold, and manage land and property rights, including easements and water rights, within the Salton Sea Region after restoration or mitigation projects are built. The bill would require the conservancy to carry out programs, projects, and activities to further those purposes. The bill would require, by January 1, 2026, the conservancy to be governed by a board of directors composed of designated membership, including certain members appointed by certain local agencies. The bill would set forth the powers, duties, and limitations of the board of directors and the conservancy, as provided. The bill would create the Salton Sea Conservancy Fund and would state that the Legislature intends to support the fund through authorized proceeds from the sale of bonds and allocations from the Salton Sea Lithium Fund. The bill would make its provisions operative only if the Safe Drinking Water, Wildfire Prevention, Drought Preparedness, and Clean Air Bond Act of 2024 is approved by the voters at the November 5, 2024, statewide general election.", Section 33814 is added to the Public Resources Code,"(f) Each voting member specified in subparagraphs (A) to (O), inclusive, of paragraph (1) of subdivision (a) shall have demonstrated interest and expertise in at least one of the conservancy’s purposes described in subdivision (a) of Section 33812. This demonstrated interest and expertise shall include, but is not limited to, any of the following:
(1) Experience with any of the following:...
(3) Experience with activities that benefit disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Advisory role, Section 33828 is added to the Public Resources Code,"(g) The conservancy may provide advance payment of up to one-half of the total grant award for a project that satisfies both of the following criteria:
(1) The project proponent is a nonprofit organization or a disadvantaged community, or the project benefits a disadvantaged community.",HSC by proxy,Program eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,"Establishes Salton Sea conservancy, including an advisory board with a member spot for someone with experience working with DACs and expedited funding for DACs or non profit"
SB 303,Allen,2/2/2023,Vetoed,,1/25/2024,Solid waste: Plastic Pollution Prevention and Packaging Producer Responsibility Act,Waste: plastic,"The act prohibits a producer from selling, offering for sale, importing, or distributing covered materials in the state unless the producer is approved to participate in the producer responsibility plan of a producer responsibility organization (PRO), as prescribed, for the source reduction, collection, processing, and recycling of covered material, except as provided.
The act requires the department to establish a producer responsibility advisory board... The act authorizes the department to adopt regulations to identify responsible end markets and to establish criteria regarding benefits to the environment and minimizes risks to public health and worker health and safety. ",Section 42041 of the Public Resources Code is amended,(i) “Disadvantaged community” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area identified as a disadvantaged unincorporated community pursuant to Section 65302.10 of the Government Code.,HSC,Defining a community,Section 42060 of the Public Resources Code is amended,"(e) In adopting regulations pursuant to this section, the department shall ensure the regulations, and activities conducted in accordance with the regulations, avoid or minimize disproportionate impacts to disadvantaged or low-income communities or rural areas.",HSC by proxy,Mitigation,Section 42070 of the Public Resources Code is amended,"42070. (a) In implementing this chapter, the department shall establish a producer responsibility advisory board for the purpose of identifying barriers and solutions to creating a circular economy consistent with this chapter and advising the department, producers, and producer responsibility organizations in the implementation of this chapter. The advisory board shall be composed of 13 voting and 3 nonvoting members as provided in the following categories, who shall be appointed by the director:...
(6) One representative from a disadvantaged or low-income community or rural area.",HSC by proxy,Advisory role,,,,,,,,,,,,,,,,,,,,,,"prohibits producers from selling/distributing plastic unless they are collecting it (i think), establishes advisory board for circular economy and has representative from DAC, mitigate pollution"
SB 576,Nguyen,2/15/2023,Returned to Secretary,,2/1/2024,General plans: land use element: military sites,"Housing, Planning","This bill, commencing January 1, 2025, would require the legislative body of a city or county, upon any substantive revision of its land use element, to modify that element to prohibit high-density housing, as defined, from being built within a 5-mile radius of a military installation or other site deemed sensitive to national security by the United States Department of Defense, except as specified. By placing new duties on county and city officials with respect to their land use planning, the bill would impose a state-mandated local program.",Section 65302 of the Government Code is amended,"(A) “Disadvantaged communities” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a low-income area that is disproportionately affected by environmental pollution and other hazards that can lead to negative health effects, exposure, or environmental degradation.",HSC,Defining a community,Section 65302 of the Government Code is amended,"(h) (1) An environmental justice element, or related goals, policies, and objectives integrated in other elements, that identifies disadvantaged communities within the area covered by the general plan of the city, county, or city and county, if the city, county, or city and county has a disadvantaged community. The environmental justice element, or related environmental justice goals, policies, and objectives integrated in other elements, shall do all of the following:
(A) Identify objectives and policies to reduce the unique or compounded health risks in disadvantaged communities by means that include, but are not limited to, the reduction of pollution exposure, including the improvement of air quality, and the promotion of public facilities, food access, safe and sanitary homes, and physical activity.
(B) Identify objectives and policies to promote civil engagement in the public decisionmaking process.
(C) Identify objectives and policies that prioritize improvements and programs that address the needs of disadvantaged communities.",HSC by proxy,Program goals,,,,,,,,,,,,,,,,,,,,,,,,,,"No change to DAC, bill prohibiting MFH within 5 mi of military sites"
AB 178,Committee on Budget,1/9/2023,Enacted,,9/30/2024,Public resources trailer bill.,Governance: of state government,affecting several laws and programs,"Section 106 of Chapter 73 of the Statutes of 2021, as amended by Section 69 of Chapter 72 of the Statutes of 2024, is amended","(i) (1) Moneys appropriated from the Greenhouse Gas Reduction Fund pursuant to this section shall be used for the purpose of facilitating the achievement of reductions of emissions of greenhouse gases in this state in accordance with the requirements of Section 39712 of the Health and Safety Code or to improve climate change adaptation and resiliency, or environmental quality and public health, of California’s communities, with an emphasis on disadvantaged communities, as defined in Section 39711 of the Health and Safety Code, or low-income households or communities, as defined in Section 39713 of the Health and Safety Code, consistent with Division 25.5 (commencing with Section 38500) of the Health and Safety Code.",HSC,Funding prioritization,"Section 106 of Chapter 73 of the Statutes of 2021, as amended by Section 69 of Chapter 72 of the Statutes of 2024, is amended",(d) It is the intent of the Legislature that the funds appropriated pursuant to subdivision (a) be used to decrease environmental burdens on disadvantaged communities and not create an increased obligation to the state to fund the cleanup of orphan sites.,HSC by proxy,"Mitigation, Program goals","Section 106 of Chapter 73 of the Statutes of 2021, as amended by Section 69 of Chapter 72 of the Statutes of 2024, is amended","(2) For moneys appropriated from the Greenhouse Gas Reduction Fund pursuant to this section, the Department of Toxic Substances Control may also comply with the requirements of paragraphs (2) and (3) of subdivision (a) of Section 16428.9 of the Government Code by describing how each proposed expenditure will improve climate change adaptation and resiliency, or environmental quality and public health, of disadvantaged communities or low-income households or communities.",HSC by proxy,Program eligibility,,,,,,,,,,,,,,,,,,,,,,"Budget bill, several programs discussed, amended some of funds from GHG reduction fund, though no changes to DACs i believe"
AB 1889,Friedman,1/22/2024,Enacted,,9/27/2024,Conservation element: wildlife and habitat connectivity.,Land use,"bill would additionally require the conservation element to consider the effect of development within the jurisdiction on the movement of wildlife and habitat connectivity. The bill would require the conservation element, upon the next update of one or more elements on or after January 1, 2028, to, among other things, identify and analyze connectivity areas, permeability, and natural landscape areas within the jurisdiction, identify and analyze existing or planned wildlife passage features, and consider the impacts of development and the barriers caused by development to wildlife, as defined, and habitat connectivity. The bill would authorize a city, county, or city and county to incorporate by reference into its general plan an existing plan, including a certified local coastal plan, that meets these requirements. The bill would authorize a city, county, or city and county preparing to update its conservation element to consider incorporating appropriate standards, policies, and feasible implementation programs, consult with specified entities, and consider relevant best available science and the most appropriately scaled scientific information on linkages, corridors, and other locations that are essential to maintain landscape connectivity. The bill would authorize a city, county, or city and county to consult with other appropriate entities and meet the above-described requirements in a separate component or section of the general plan entitled a wildlife connectivity element. The bill would include related legislative findings and declarations. By adding to the duties of county and city officials in the administration of their land use planning duties, this bill would impose a state-mandated local program.",Section 65302 of the Government Code is amended,"(A) “Disadvantaged communities” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a low-income area that is disproportionately affected by environmental pollution and other hazards that can lead to negative health effects, exposure, or environmental degradation.",HSC,Defining a community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not affecting DACs, just brought up in land use planning code"
SB 149,Caballero,1/18/2023,Enacted,,7/10/2023,California Environmental Quality Act: administrative and judicial procedures: record of proceedings: judicial streamlining,Land use,"bill would authorize the public agency to deny the request of the plaintiff or petitioner to prepare the record of proceedings, as provided, in which case the bill would require the public agency or the real party in interest to bear the costs of preparation and certification of the record of proceedings and would prohibit the recovery of those costs from the plaintiff or petitioner. The bill would require the court to schedule a case management conference within 30 days of the filing of an action to review the scope, timing, and cost of the record of proceedings. The bill would require that an electronic copy of the certified record of proceedings be lodged with the court. ill would extend the Governor’s authority to certify a project to before January 1, 2032. The bill would expressly provide that the cost of preparing the record of proceedings for the project is not recoverable from the plaintiff or petitioner before, during, or after any litigation. The bill would provide that if a lead agency fails to approve a project certified by the Governor before January 1, 2033, the certification is no longer valid. The bill would repeal the Leadership Act on January 1, 2034. Because the bill would extend the duties of the lead agency under the Leadership Act, this bill would impose a state-mandated local program.
This bill would establish procedures for the preparation of the record of proceedings for projects that are certified by the Governor as an infrastructure project, as defined. The bill would require an action or proceeding challenging the certification of an EIR for those projects or the granting of any project approvals, including any potential appeals to the court of appeal or the Supreme Court, to be resolved, to the extent feasible, within 270 days of the filing of the record of proceedings with the court.",Section 21189.81 is added to the Public Resources Code,(b) “Disadvantaged community” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area identified as a disadvantaged unincorporated community pursuant to Section 65302.10 of the Government Code.,HSC,Defining a community,Section 21189.82 is added to the Public Resources Code,"(c) An applicant for certification of an infrastructure project under this chapter shall do all of the following:
(1) Avoid or minimize significant environmental impacts in any disadvantaged community.
(2) If measures are required pursuant to this division to mitigate significant environmental impacts in a disadvantaged community, mitigate those impacts consistent with this division, including Section 21002. Mitigation measures required under this subdivision shall be undertaken in, and directly benefit, the affected community.",HSC by proxy,Mitigation,,,,,,,,,,,,,,,,,,,,,,,,,,"another CEQA streamlining bill, gives governor authority to certify a project, and even provisions regarding the supreme court"
AB 1504,McCarty,2/17/2023,Filed,,2/1/2024,Planning and zoning: electric vehicle charging infrastructure: public right-of-way.,"Planning, Transportation: ZEV","provisions described above do not apply to applications to install an electric vehicle charging station or hydrogen-fueling station in a public right-of-way. The bill would require local agencies to complete a plan for the installation of electric vehicle charging stations in the public right-of-way that includes, but is not limited to, a permitting process. In developing the plan and permitting process, the bill would require local agencies to take specified actions....  require the Energy Commission, working with the state board and the PUC, to instead prepare a statewide assessment of the electric vehicle charging infrastructure needed to support the levels of light- and heavy-duty electric vehicle adoption required for the state to meet the goals of a specified executive order, a mobile source strategy, and achieving carbon neutrality as soon as possible and no later than 2045. ",Section 65850.72 is added to the Government Code,(1) “Disadvantaged communities” means communities identified as disadvantaged communities pursuant to Section 39711 of the Health and Safety Code.,HSC,Defining a community,Section 65850.72 is added to the Government Code,"(c) In developing the plan and permitting process pursuant to subdivision (b), the local agency shall do all of the following:
(1) Consult with all of the following:..
(7) Complete an equity analysis to determine locations for electric vehicle charging stations in the public right-of-way in the jurisdiction of the local agency that will most effectively and efficiently reduce barriers to equitable access to electric vehicle charging stations in the public right-of-way, including, but not limited to, multiunit developments and disadvantaged communities.",HSC by proxy,Requires CES to be used in analysis,Section 25229 of the Public Resources Code is amended,"(a) The commission, working with the State Air Resources Board and the Public Utilities Commission, shall prepare a statewide assessment of the electric vehicle charging infrastructure needed to support the levels of light- and heavy-duty electric vehicle adoption required for the state to meet the goals specified in Executive Order No. N-79-20 (September 23, 2020), the mobile source strategy updated pursuant to Section 43024.2 of the Health and Safety Code, and the goal of achieving carbon neutrality as soon as possible and no later than 2045, consistent with Section 38562.2 of the Health and Safety Code....
(d) The assessment shall evaluate the impact of the deployment scenarios described in subdivision (c) on equitable access to publicly available direct current fast chargers, including, but not limited to, in rural, low-income, and disadvantaged communities.",HSC by proxy,Requires CES to be used in analysis,Section 25229 of the Public Resources Code is amended,"(e) As a part of the assessment, the commission, in consultation with stakeholders, shall identify workforce development and training resources needed to meet the goals described in subdivision (a), to meet the array of power levels identified in subdivision (c), and to achieve a cost-effective and equitable electric vehicle charging network in the state. These resources shall include, but are not limited to, qualified apprenticeships, on-the-job training programs, and other training opportunities, including demonstrated field experience with an array of electric vehicle charging technologies and power levels, including those that may not be covered by the curriculum of the Electric Vehicle Infrastructure Training Program, as described in Section 740.20 of the Public Utilities Code, that build career pipelines in the zero-emission transportation sector and provide long-term employment in disadvantaged communities.",HSC by proxy,Program goals,,,,,,,,,,,,,,,,,,bill about ZEV charging network/infrastructure to assess impact of equitable deployment and impacts on DACs
AB 2583,Berman,2/14/2024,"Amended out of the bill, Held in Committee",,8/15/2024,School zones: speed limits.,Planning,"This bill would, until January 1, 2028, instead establish a prima facie speed limit of 25 miles per hour in a school zone, as defined, subject to specified conditions, including, among others, when a school speed limit sign states “when children are present” and children are present, as defined, and when a school speed limit sign states specific hours, as specified. The bill would, notwithstanding the above provision and until January 1, 2028, authorize a local authority, by ordinance or resolution, to determine and declare a prima facie speed limit of 20 miles per hour in a school zone. The bill would, beginning on January 1, 2028, establish a prima facie speed limit of 20 miles per hour in a school zone, subject to conditions similar to those described above. By establishing new prima facie speed limits in school zones that would require changes to local speed limit signs, this bill would impose a state-mandated local program.... The bill would instead authorize a local authority, by ordinance or resolution, to determine and declare a prima facie speed limit of 15 miles per hour in a residence district on a highway with a posted speed limit of 30 miles per hour or slower in a school zone, or 25 miles per hour when approaching from a school zone at a distance of 500 to 1,000 feet, without the above-mentioned conditions, as specified.",Section 65302 of the Government Code is amended,"(A) “Disadvantaged communities” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area that is a low-income area that is disproportionately affected by environmental pollution and other hazards that can lead to negative health effects, exposure, or environmental degradation.",HSC,Defining a community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not affecting DACs, just brought up in land use planning code. amended out"
AB 173,Committee on Budget,1/9/2023,Enacted,,7/2/2024,Transportation budget trailer bill.,Governance: of state government,"multiple provisions to laws and programs affecting transportation, including clean fleets, CHP, high speed rail, etc",Section 104.3 of the Streets and Highways Code is amended,"(h) (1) Within one year of June 30, 2022, the department shall develop guidelines, including project selection criteria, program evaluation metrics, and targeted technical assistance strategies to implement the program. The guidelines shall be exempt from the Administrative Procedure Act (Chapter 3.5 (commencing with Section 11340) of Part 1 of Division 3 of Title 2 of the Government Code).
(2) In developing guidelines pursuant to this section, the department shall solicit input from local communities.
(3) The guidelines shall include, but shall not be limited to, all of the following:
(A) (i) A requirement that 100 percent of the program funds are awarded to projects that benefit underserved communities. For purposes of the program, the department shall establish a data-driven definition for underserved communities that may include, but need not be limited to, disadvantaged communities, as identified pursuant to Section 39711 of the Health and Safety Code, and low-income communities, as defined in paragraph (2) of subdivision (d) of Section 39713 of the Health and Safety Code.",HSC,Program eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Budget bill, several programs discussed, amended some of federal reconnecting communities pilot program, DACs in there"
SB 157,Wiener,1/18/2023,Inactive File,,8/29/2024,Budget Act of 2024,Governance: of state government,"The Budget Act of 2024 made appropriations for the support of state government for the 2024–25 fiscal year.
This bill would amend the Budget Act of 2024 by amending, adding, and repealing items of appropriation and making other changes.
This bill would declare that it is to take effect immediately as a Budget Bill.",budget,"Of the funds appropriated in Schedule (1), $12,500,000 shall be used for the Listos California Grant program. The Listos California Grant program shall be managed by the Office of Diversity, Equity, and Inclusion within the Executive Office of the Office of Emergency Services. The grants shall be used to provide accessible and culturally competent outreach and resources with assessment and criteria for allocation of funds prioritized for, but not limited to, geographic areas of greatest all hazard risk and vulnerability as highlighted in and demonstrated by the California State Hazard Mitigation Plan; underresourced communities as defined in Section 39711 of the Health and Safety Code, subdivision (d) of Section 39713 of the Health and Safety Code, or subdivision (g) of Section 75005 of the Public Resources Code. The grants shall be administered consistent with the emergency management system described in Section 8607 of the Government Code, including, but not limited to, being informed by community-based and nongovernmental organizations and local emergency service networks, including county emergency officials. The Office of Diversity, Equity, and Inclusion shall provide eligible organizations within the identified geographic areas an opportunity to apply to the Listos California Grant program. The Office of Emergency Services shall report to the appropriate budget committees of the Legislature, the Senate Committee on Governmental Organization, the Assembly Committee on Emergency Management, and the Legislative Analyst’s Office on the expenditure of these funds on or before February 1, 2026, including the following:",HSC,Funding prioritization,Section 15.14 of the Budget Act of 2024 is amended,"(g) The following provisions apply to specified Greenhouse Gas Reduction Fund appropriations, including Items 0540-001-3228, 0650-101-3228, 3360-001-3228 (Schedule 2), 3640-101-3228, 3760-102-3228, 3860-001-3228, 3860-101-3228, 3860-301-3228, and 3940-102-3228.
(1) The funds shall be used for the purpose of facilitating the achievement of reductions of greenhouse gas emissions in this state in accordance with the requirements of Section 39712 of the Health and Safety Code or to improve climate change adaptation and resiliency, or environmental quality and public health, of California’s communities, with an emphasis on disadvantaged communities, as defined in Section 39711 of the Health and Safety Code, or low-income households or communities, as defined in Section 39713 of the Health and Safety Code, consistent with Division 25.5 (commencing with Section 38500) of the Health and Safety Code.",HSC,Funding prioritization,Section 15.14 of the Budget Act of 2024 is amended,"(2) A state agency may also comply with the requirements of paragraphs (2) and (3) of subdivision (a) of Section 16428.9 of the Government Code by describing how each proposed expenditure will improve climate change adaptation and resiliency, or environmental quality and public health, of disadvantaged communities or low-income households or communities.",HSC by proxy,Requires CES to be used in analysis,,,,,,,,,,,,,,,,,,,,,,"budget bill, mentioning GHG emissions reduction funds. early match to ab 157"
SB 173,Committee on Budget and Fiscal Review,1/18/2023,Referred,,7/1/2024,Transportation budget trailer bill.,Governance: of state government,"multiple provisions to laws and programs affecting transportation, including clean fleets, CHP, high speed rail, etc",Section 104.3 of the Streets and Highways Code is amended,"(h) (1) Within one year of June 30, 2022, the department shall develop guidelines, including project selection criteria, program evaluation metrics, and targeted technical assistance strategies to implement the program. The guidelines shall be exempt from the Administrative Procedure Act (Chapter 3.5 (commencing with Section 11340) of Part 1 of Division 3 of Title 2 of the Government Code).
(2) In developing guidelines pursuant to this section, the department shall solicit input from local communities.
(3) The guidelines shall include, but shall not be limited to, all of the following:
(A) (i) A requirement that 100 percent of the program funds are awarded to projects that benefit underserved communities. For purposes of the program, the department shall establish a data-driven definition for underserved communities that may include, but need not be limited to, disadvantaged communities, as identified pursuant to Section 39711 of the Health and Safety Code, and low-income communities, as defined in paragraph (2) of subdivision (d) of Section 39713 of the Health and Safety Code.",HSC,Program eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Budget bill, several programs discussed, amended some of federal reconnecting communities pilot program, DACs in there. match to ab 173"
SB 178,Committee on Budget and Fiscal Review,1/18/2023,Inactive File,,8/29/2024,Public resources trailer bill.,Governance: of state government,affecting several laws and programs,"Section 106 of Chapter 73 of the Statutes of 2021, as amended by Section 69 of Chapter 72 of the Statutes of 2024, is amended","(i) (1) Moneys appropriated from the Greenhouse Gas Reduction Fund pursuant to this section shall be used for the purpose of facilitating the achievement of reductions of emissions of greenhouse gases in this state in accordance with the requirements of Section 39712 of the Health and Safety Code or to improve climate change adaptation and resiliency, or environmental quality and public health, of California’s communities, with an emphasis on disadvantaged communities, as defined in Section 39711 of the Health and Safety Code, or low-income households or communities, as defined in Section 39713 of the Health and Safety Code, consistent with Division 25.5 (commencing with Section 38500) of the Health and Safety Code.",HSC,Funding prioritization,"Section 106 of Chapter 73 of the Statutes of 2021, as amended by Section 69 of Chapter 72 of the Statutes of 2024, is amended",(d) It is the intent of the Legislature that the funds appropriated pursuant to subdivision (a) be used to decrease environmental burdens on disadvantaged communities and not create an increased obligation to the state to fund the cleanup of orphan sites.,HSC by proxy,"Mitigation, Program goals","Section 106 of Chapter 73 of the Statutes of 2021, as amended by Section 69 of Chapter 72 of the Statutes of 2024, is amended","(2) For moneys appropriated from the Greenhouse Gas Reduction Fund pursuant to this section, the Department of Toxic Substances Control may also comply with the requirements of paragraphs (2) and (3) of subdivision (a) of Section 16428.9 of the Government Code by describing how each proposed expenditure will improve climate change adaptation and resiliency, or environmental quality and public health, of disadvantaged communities or low-income households or communities.",HSC by proxy,Program eligibility,,,,,,,,,,,,,,,,,,,,,,"Budget bill, several programs discussed, amended some of funds from GHG reduction fund, though no changes to DACs i believe. match to ab 178"
AB 1526,Committee on Natural Resources,2/17/2023,Enacted,,10/10/2023,Public resources,Governance: of state government,covers many laws and programs,Section 42041 of the Public Resources Code is amended,(i) “Disadvantaged community” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area identified as a disadvantaged unincorporated community pursuant to Section 65302.10 of the Government Code.,HSC,Defining a community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,repeats this DAC code elsewhere
SB 1143,Allen,2/14/2024,Enacted,,9/29/2024,Paint products: stewardship program.,Waste: hazardous,"bill would revise and recast the architectural paint recovery program as the paint product recovery program... bill would require a manufacturer, individually or through a stewardship organization, to review its plan at least every 5 years after approval by CalRecycle and determine whether amendments to the plan are necessary.",Section 42041 of the Public Resources Code is amended,(i) “Disadvantaged community” means an area identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code or an area identified as a disadvantaged unincorporated community pursuant to Section 65302.10 of the Government Code.,HSC,Defining a community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i think not an actual change to DACs
AB 1373,Garcia,2/17/2023,Enacted,,10/7/2023,Energy,Energy,"Many provisoins for energy, including assessing barriers to electricity interconnection, authorizes energy commission to allocate workforce development grants, require PUC to conduct competitive solicitations for electricity supply",Section 454.52 of the Public Utilities Code is amended to read:,"454.52. (a) (1) Beginning in 2017, and to be updated regularly thereafter, the commission shall adopt a process for each load-serving entity to file an integrated resource plan, and a schedule for periodic updates to the plan, and shall ensure that load-serving entities do all of the following:...
(I) Minimize localized air pollutants and other greenhouse gas emissions, with early priority on disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Program goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i think not an actual change to DACs
